Task	Description / Key Activities	Team Involved	Start Date	End Date
1.GCS				
Authentication & Authorization Management	Implement role‑based access control so operators, maintenance staff and users get proper permissions.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	01-12-2025	2025-12-10 00:00:00
UI Panels for Mission Planning	Mission planning UI with DSM + Survey of India data including preprocessing & visualization.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2025-12-11 00:00:00	2025-12-22 00:00:00
Data exchange GCS-UGV	Real‑time secure bidirectional communication using MAVLink/ROS for telemetry, commands, diagnostics.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2025-12-23 00:00:00	2026-01-01 00:00:00
UI Panels for GCS Operations	Panels for viewing and configuring mission parameters—waypoints, speeds, modes.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-01-02 00:00:00	2026-01-13 00:00:00
Notification Messages	Health monitoring alerts, emergency triggers based on thresholds or operator inputs.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-01-14 00:00:00	2026-01-23 00:00:00
Communication & Networking Protocols	Define command sets, message structures, networking standards for GCS‑UGV.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-01-27 00:00:00	2026-02-05 00:00:00
Alert Pop-Ups	Alerts for mission feasibility, health thresholds, object detection from video.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-02-06 00:00:00	2026-02-17 00:00:00
Data Storage & Back Up	Secure storage with retention policies, automatic backups for mission data.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-02-18 00:00:00	2026-02-27 00:00:00
Video Recording / Image Snapshot storage	Video recording and image snapshots with indexing & timestamp retrieval.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-03-02 00:00:00	2026-03-11 00:00:00
System Health Assessment	Continuous diagnostics, telemetry analysis, health scoring and reporting.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-03-12 00:00:00	2026-03-23 00:00:00
Fault Management	Rule‑based fault classification with severity‑based priorities.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-03-24 00:00:00	2026-04-02 00:00:00
Emergency Management System	Integrate environmental sensors; automated emergency handling for fault events.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-04-03 00:00:00	2026-04-14 00:00:00
Alerts and Notification Management	Central alert system for faults, object detection, emergency conditions.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-04-15 00:00:00	2026-04-24 00:00:00
Video Processing at GCS	Real‑time video decoding, stitching, overlays and analytics.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-04-27 00:00:00	2026-05-07 00:00:00
Pre- & Post Test of UGV Peripherals	Automated tests for PTZ camera, motors, battery, GNSS before/after missions.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-05-08 00:00:00	2026-05-19 00:00:00
GO / NO GO Decision	Automated go/no‑go based on subsystem health and test results.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-05-20 00:00:00	2026-05-29 00:00:00
Return to Home (RTH)	Automatic RTH on system failures or abort conditions.	Mahadevi Biradar, Satyajeet Deshmukh, Borse Team	2026-06-01 00:00:00	2026-06-10 00:00:00
2.VCU				
Initial Power Check	VCU development activity.	Sachin Kate, Borse Team	2025-12-01 00:00:00	2025-12-08 00:00:00
Linux Installation	VCU development activity.	Sachin Kate, Borse Team	2025-12-09 00:00:00	2025-12-16 00:00:00
ROS2 Installation	VCU development activity.	Sachin Kate, Borse Team	2025-12-17 00:00:00	2025-12-24 00:00:00
ROS2 Workspace configuration	VCU development activity.	Sachin Kate, Borse Team	2025-12-25 00:00:00	2026-01-01 00:00:00
Temperature Sensor – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-01-02 00:00:00	2026-01-09 00:00:00
Temperature Sensor – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-01-12 00:00:00	2026-01-19 00:00:00
Temperature Sensor – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-01-20 00:00:00	2026-01-28 00:00:00
Temperature Sensor – calibration	VCU development activity.	Sachin Kate, Borse Team	2026-01-29 00:00:00	2026-02-05 00:00:00
Temperature Sensor – final code	Develop final ROS2-compliant code for integration.	Sachin Kate, Borse Team	2026-02-06 00:00:00	2026-02-13 00:00:00
Motor Driver – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-02-16 00:00:00	2026-02-23 00:00:00
Motor Driver – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-02-24 00:00:00	2026-03-03 00:00:00
Motor Driver – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-03-04 00:00:00	2026-03-11 00:00:00
Motor Driver – final code	Develop final ROS2-compliant code for integration.	Sachin Kate, Borse Team	2026-03-12 00:00:00	2026-03-19 00:00:00
3D LIDAR – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-03-20 00:00:00	2026-03-27 00:00:00
3D LIDAR – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-03-30 00:00:00	2026-04-06 00:00:00
3D LIDAR – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-04-07 00:00:00	2026-04-14 00:00:00
3D LIDAR – final code	Develop final ROS2-compliant code for integration.	Sachin Kate, Borse Team	2026-04-15 00:00:00	2026-04-22 00:00:00
Follow Me Tag – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-04-23 00:00:00	2026-04-30 00:00:00
Follow Me Tag – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-05-04 00:00:00	2026-05-11 00:00:00
Follow Me Tag – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-05-12 00:00:00	2026-05-19 00:00:00
Follow Me Tag – final code	Develop final ROS2-compliant code for integration.	Sachin Kate, Borse Team	2026-05-20 00:00:00	2026-05-27 00:00:00
IO module – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-05-28 00:00:00	2026-06-04 00:00:00
IO module – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-06-05 00:00:00	2026-06-12 00:00:00
IO module – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-06-15 00:00:00	2026-06-22 00:00:00
IO module – final code	Develop final ROS2-compliant code for integration.	Sachin Kate, Borse Team	2026-06-23 00:00:00	2026-06-30 00:00:00
EO Sight Camera – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-07-01 00:00:00	2026-07-08 00:00:00
EO Sight Camera – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-07-09 00:00:00	2026-07-16 00:00:00
EO Sight Camera – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-07-17 00:00:00	2026-07-24 00:00:00
EO Sight Camera – final code	Develop final ROS2-compliant code for integration.	Sachin Kate, Borse Team	2026-07-27 00:00:00	2026-08-03 00:00:00
GNSS receiver – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-08-04 00:00:00	2026-08-11 00:00:00
GNSS receiver – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-08-12 00:00:00	2026-08-19 00:00:00
GNSS receiver – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-08-20 00:00:00	2026-08-27 00:00:00
EO Sight Camera + encoder – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-08-28 00:00:00	2026-09-04 00:00:00
EO Sight Camera + encoder – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-09-07 00:00:00	2026-09-14 00:00:00
EO Sight Camera + encoder – device testing	Validate real hardware performance and verify output stability.	Sachin Kate, Borse Team	2026-09-15 00:00:00	2026-09-22 00:00:00
Drive camera + encoder – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-09-23 00:00:00	2026-09-30 00:00:00
Drive camera + encoder – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-10-01 00:00:00	2026-10-08 00:00:00
Drive camera + encoder – device testing	Validate real hardware performance and verify output stability.	Sachin Kate, Borse Team	2026-10-09 00:00:00	2026-10-16 00:00:00
Radio – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-10-19 00:00:00	2026-10-26 00:00:00
Radio – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-10-27 00:00:00	2026-11-03 00:00:00
Radio – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-11-04 00:00:00	2026-11-11 00:00:00
BMS – technical study	Review datasheet, understand interfaces, electrical characteristics, communication protocols.	Sachin Kate, Borse Team	2026-11-12 00:00:00	2026-11-19 00:00:00
BMS – SDK setup	Install and configure device SDK/library for integration.	Sachin Kate, Borse Team	2026-11-20 00:00:00	2026-11-27 00:00:00
BMS – trial code	Write trial code to verify basic communication and functionality.	Sachin Kate, Borse Team	2026-11-30 00:00:00	2026-12-07 00:00:00
